date,day,holiday,holiday_type
2020-11-24,Tuesday,Guru Teg Bahadur's Martyrdom Day (R),Restricted
2020-11-30,Monday,Guru Nanak's Birthday (G),Gazetted
2020-12-24,Thursday,Christmas Eve (R),Restricted
2020-12-25,Friday,Christmas Day (G),Gazetted
2021-01-01,Friday,New Year's Day (R),Restricted
2021-01-13,Wednesday,Lohri (R),Restricted
2021-01-14,Thursday,Makar Sankranti/Pongal (R),Restricted
2021-01-20,Wednesday,Guru Gobind Singh's Birthday (R),Restricted
2021-01-26,Tuesday,Republic Day (G),Gazetted
2021-02-16,Tuesday,Basant Panchami / Sri Panchami (R),Restricted
2021-02-19,Friday,Shivaji Jayanti (R),Restricted
2021-02-26,Friday,Hazarat Ali's Birthday (R),Restricted
2021-02-27,Saturday,Guru Ravidas's Birthday (R),Restricted
2021-03-08,Monday,Swami Dayananda Saraswati Jayanti (R),Restricted
2021-03-11,Thursday,Maha Shivaratri (R),Restricted
2021-03-28,Sunday,Holika Dahan/Dolyatra (R),Restricted
2021-03-29,Monday,Holi (G),Gazetted
2021-04-02,Friday,Good Friday (G),Gazetted
2021-04-04,Sunday,Easter Sunday (R),Restricted
2021-04-13,Tuesday,Chaitra Sukladi/ Gudi Padava/ Ugadi/Cheti Chand/ Vaisakhi/ Vishu (R),Restricted
2021-04-14,Wednesday,Mesadi Tamil New Year's Day (R),Restricted
2021-04-15,Thursday,Vaisakhadi (Bengal)/ Bahag Bihu (Assam) (R),Restricted
2021-04-21,Wednesday,Ram Navami (G),Gazetted
2021-04-25,Sunday,Mahavir Jayanti (G),Gazetted
2021-05-07,Friday,Jamat-Ul-Vida (R),Restricted
2021-05-09,Sunday,Guru Rabindranath's Birthday (R),Restricted
2021-05-14,Friday,Id-ul- Fitr (G),Gazetted
2021-05-26,Wednesday,Buddha Purnima (G),Gazetted
2021-07-12,Monday,Rath Yatra (R),Restricted
2021-07-21,Wednesday,Id-ul-Zuha (Bakrid) (G),Gazetted
2021-08-15,Sunday,Independence day (G),Gazetted
2021-08-16,Monday,Parsi New Year's day/ Nauraj (R),Restricted
2021-08-19,Thursday,Muharram (G),Gazetted
2021-08-21,Saturday,Onam or Thiru Onam Day (R),Restricted
2021-08-22,Sunday,Raksha Bandhan (R),Restricted
2021-08-30,Monday,Janmashtami (Smarta) (R),Restricted
2021-09-10,Friday,Vinayaka Chaturthi/ Ganesh Chaturthi (R),Restricted
2021-10-02,Saturday,Mahatma Gandhi's Birthday (G),Gazetted
2021-10-12,Tuesday,Dussehra (Maha Saptami) (R),Restricted
2021-10-13,Wednesday,Dussehra (Maha Ashtami) (R),Restricted
2021-10-14,Thursday,Dussehra (Maha Navmi) (R),Restricted
2021-10-15,Friday,Dussehra (G),Gazetted
2021-10-19,Tuesday,Milad-un-Nabi or Id-e-Milad (Birthday of Prophet Mohammad) (G),Gazetted
2021-10-20,Wednesday,Maharishi Valmiki's Birthday (R),Restricted
2021-10-24,Sunday,Karaka Chaturthi (Karva Chouth) (R),Restricted
2021-11-04,Thursday,Naraka Chaturdasi (R),Restricted
2021-11-05,Friday,Govardhan Puja (R),Restricted
2021-11-06,Saturday,Bhai Duj (R),Restricted
2021-11-10,Wednesday,Pratihar Sashthi or Surya Sashthi (Chhat Puja) (R),Restricted
2021-11-19,Friday,Guru Nanak's Birthday (G),Gazetted
2021-11-24,Wednesday,Guru Teg Bahadur's Martyrdom Day (R),Restricted
2021-12-24,Friday,Christmas Eve (R),Restricted
2021-12-25,Saturday,Christmas Day (G),Gazetted
2022-01-01,Saturday,New Year's Day,Restricted Holiday
2022-01-09,Sunday,Guru Govind Singh Jayanti,Restricted Holiday
2022-01-13,Thursday,Lohri,Restricted Holiday
2022-01-14,Friday,Pongal,Restricted Holiday
2022-01-14,Friday,Makar Sankranti,Restricted Holiday
2022-01-26,Wednesday,Republic Day,Gazetted Holiday
2022-02-01,Tuesday,Lunar New Year,Observance
2022-02-05,Saturday,Vasant Panchami,Restricted Holiday
2022-02-14,Monday,Valentine's Day,Observance
2022-02-15,Tuesday,Hazarat Ali's Birthday,Restricted Holiday
2022-02-16,Wednesday,Guru Ravidas Jayanti,Restricted Holiday
2022-02-19,Saturday,Shivaji Jayanti,Restricted Holiday
2022-02-26,Saturday,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
2022-03-01,Tuesday,Maha Shivaratri/Shivaratri,Gazetted Holiday
2022-03-17,Thursday,Holika Dahana,Restricted Holiday
2022-03-18,Friday,Holi,Gazetted Holiday
2022-03-18,Friday,Dolyatra,Restricted Holiday
2022-03-20,Sunday,March Equinox,Season
2022-04-02,Saturday,Chaitra Sukhladi,Restricted Holiday
2022-04-02,Saturday,Ugadi,Restricted Holiday
2022-04-02,Saturday,Gudi Padwa,Restricted Holiday
2022-04-10,Sunday,Rama Navami,Restricted Holiday
2022-04-14,Thursday,Maundy Thursday,Observance
2022-04-14,Thursday,Mahavir Jayanti,Gazetted Holiday
2022-04-14,Thursday,Vaisakhi,Restricted Holiday
2022-04-14,Thursday,Mesadi / Vaisakhadi,Restricted Holiday
2022-04-14,Thursday,Ambedkar Jayanti,Observance
2022-04-15,Friday,Good Friday,Gazetted Holiday
2022-04-16,Saturday,First day of Passover,Observance
2022-04-17,Sunday,Easter Day,Restricted Holiday
2022-04-29,Friday,Jamat Ul-Vida (Tentative Date),Restricted Holiday
2022-05-01,Sunday,International Worker's Day,Observance
2022-05-03,Tuesday,Ramzan Id/Eid-ul-Fitar,Gazetted Holiday
2022-05-03,Tuesday,Ramzan Id/Eid-ul-Fitar,Muslim
2022-05-08,Sunday,Mothers' Day,Observance
2022-05-09,Monday,Birthday of Rabindranath,Restricted Holiday
2022-05-16,Monday,Buddha Purnima/Vesak,Gazetted Holiday
2022-06-19,Sunday,Fathers' Day,Observance
2022-06-21,Tuesday,June Solstice,Season
2022-07-01,Friday,Rath Yatra,Restricted Holiday
2022-07-10,Sunday,Bakrid/Eid ul-Adha,Gazetted Holiday
2022-07-13,Wednesday,Guru Purnima,Observance
2022-08-07,Sunday,Friendship Day,Observance
2022-08-09,Tuesday,Muharram/Ashura,Gazetted Holiday
